SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
10/G1,ANNALI - ISTITUTO UNIVERSITARIO ORIENTALE. SEZIONE GERMANICA,1124-3724,.
10/G1,"ANNALI DEL DIPARTIMENTO DI STUDI LETTERARI, LINGUISTICI E COMPARATI. SEZIONE LINGUISTICA",2281-6585,.
10/G1,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X,.
10/G1,ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. STUDI FINNO-UGRICI,1826-753X,.
10/G1,APPLIED LINGUISTICS,0142-6001,.
10/G1,APPLIED LINGUISTICS,1477-450X,.
10/G1,APPLIED PSYCHOLINGUISTICS,0142-7164,.
10/G1,ARCHIVIO GLOTTOLOGICO ITALIANO,0004-0207,.
10/G1,ARCHIVUM LATINITATIS MEDII AEVI,0994-8090,.
10/G1,ARTIFICIAL INTELLIGENCE,0004-3702,.
10/G1,ATHENAEUM,0004-6574,.
10/G1,BALTISTICA,0132-6503,.
10/G1,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,.
10/G1,BEITRÄGE ZUR GESCHICHTE DER SPRACHWISSENSCHAFT,0939-2815,.
10/G1,BILINGUALISM,1366-7289,.
10/G1,BMC BIOINFORMATICS,1471-2105,.
10/G1,BOLLETTINO - CENTRO DI STUDI FILOLOGICI E LINGUISTICI SICILIANI,0577-277X,.
10/G1,BRAIN AND COGNITION,0278-2626,.
10/G1,BRAIN AND LANGUAGE,0093-934X,.
10/G1,BULLETIN DE LA SOCIÉTÉ DE LINGUISTIQUE DE PARIS,0037-9069,.
10/G1,CAHIERS DE LEXICOLOGIE,0007-9871,.
10/G1,CAHIERS FERDINAND DE SAUSSURE,0068-516X,.
10/G1,COGNITION,0010-0277,.
10/G1,COGNITIVE LINGUISTICS,0936-5907,.
10/G1,COGNITIVE PROCESSING,1612-4782,.
10/G1,COGNITIVE SCIENCE,0364-0213,.
10/G1,COMPARATIVE AND FUNCTIONAL GENOMICS,1531-6912,.
10/G1,COMPUTATIONAL LINGUISTICS,0891-2017,.
10/G1,COMPUTATIONAL LINGUISTICS,1530-9312,.
10/G1,COMPUTER SPEECH AND LANGUAGE,0885-2308,.
10/G1,CORPUS LINGUISTICS AND LINGUISTIC THEORY,1613-7027,.
10/G1,CORTEX,0010-9452,.
10/G1,CULTURA NEOLATINA,0391-5654,.
10/G1,DEVELOPMENTAL SCIENCE,1363-755X,.
10/G1,DIACHRONICA,0176-4225,.
10/G1,DIALECTICA,0012-2017,.
10/G1,DISCOURSE PROCESSES,0163-853X,.
10/G1,ENGLISH LANGUAGE AND LINGUISTICS,1360-6743,.
10/G1,ESTUDIS ROMÀNICS,0211-8572,.
10/G1,EUROSLA YEARBOOK,1568-1491,.
10/G1,FAITS DE LANGUES,1244-5460,.
10/G1,FAITS DE LANGUES. LES CAHIERS,2104-1881,.
10/G1,FIRST LANGUAGE,0142-7237,.
10/G1,FOLIA LINGUISTICA,0165-4004,.
10/G1,FOLIA LINGUISTICA HISTORICA,0168-647X,.
10/G1,FUNCTIONS OF LANGUAGE,0929-998X,.
10/G1,GLOTTA,0017-1298,.
10/G1,HISTORIOGRAPHIA LINGUISTICA,0302-5160,.
10/G1,HISTORISCHE SPRACHFORSCHUNG,0935-3518,.
10/G1,IJDL-INTERNATIONAL JOURNAL OF DIACHRONIC LINGUISTICS AND LINGUISTIC RECONSTRUCTION,1614-5291,.
10/G1,IL NOME NEL TESTO,1591-7622,.
10/G1,IL NOME NEL TESTO,2282-5649,.
10/G1,INCONTRI LINGUISTICI,0390-2412,.
10/G1,INDOGERMANISCHE FORSCHUNGEN,0019-7262,.
10/G1,INDO-IRANIAN JOURNAL,0019-7246,.
10/G1,INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS,0020-7071,.
10/G1,INTERNATIONAL JOURNAL OF BILINGUAL EDUCATION AND BILINGUALISM,1367-0050,.
10/G1,INTERNATIONAL JOURNAL OF BILINGUALISM,1367-0069,.
10/G1,INTERNATIONAL JOURNAL OF LEXICOGRAPHY,0950-3846,.
10/G1,INTERNATIONAL JOURNAL OF LINGUISTICS,1948-5425,.
10/G1,INTERNATIONAL JOURNAL OF MULTILINGUALISM,1479-0718,.
10/G1,INTERNATIONAL JOURNAL OF THE SOCIOLOGY OF LANGUAGE,0165-2516,.
10/G1,JOURNAL OF CHILD LANGUAGE,0305-0009,.
10/G1,JOURNAL OF COGNITIVE NEUROSCIENCE,0898-929X,.
10/G1,JOURNAL OF COMPARATIVE GERMANIC LINGUISTICS,1383-4924,.
10/G1,JOURNAL OF ETHNIC AND MIGRATION STUDIES,1369-183X,.
10/G1,JOURNAL OF GREEK LINGUISTICS,1566-5844,.
10/G1,JOURNAL OF HISTORICAL LINGUISTICS,2210-2116,.
10/G1,JOURNAL OF LATIN LINGUISTICS,2194-8739,.
10/G1,JOURNAL OF LATIN LINGUISTICS,2194-8747,.
10/G1,JOURNAL OF LINGUISTICS,0022-2267,.
10/G1,"JOURNAL OF LOGIC, LANGUAGE, AND INFORMATION",0925-8531,.
10/G1,JOURNAL OF MEMORY AND LANGUAGE,0749-596X,.
10/G1,JOURNAL OF NEUROLINGUISTICS,0911-6044,.
10/G1,JOURNAL OF PHONETICS,0095-4470,.
10/G1,JOURNAL OF PRAGMATICS,0378-2166,.
10/G1,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,0090-6905,.
10/G1,JOURNAL OF SECOND LANGUAGE WRITING,1060-3743,.
10/G1,JOURNAL OF SEMANTICS,0167-5133,.
10/G1,JOURNAL OF SOCIOLINGUISTICS,1360-6441,.
10/G1,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1092-4388,.
10/G1,JOURNAL OF THE AMERICAN ORIENTAL SOCIETY,0003-0279,.
10/G1,JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION,0025-1003,.
10/G1,KRATYLOS,0023-4567,.
10/G1,LA LINGUA ITALIANA,1724-9074,.
10/G1,"LA LINGUA ITALIANA: STORIA, STRUTTURA, TESTI: RIVISTA INTERNAZIONALE",1826-8080,.
10/G1,L'ANALISI LINGUISTICA E LETTERARIA,1122-1917,.
10/G1,LANGAGES,0458-726X,.
10/G1,LANGUAGE,0097-8507,.
10/G1,LANGUAGE,1535-0665,.
10/G1,LANGUAGE ACQUISITION,1048-9223,.
10/G1,LANGUAGE AND COGNITIVE PROCESSES,0169-0965,.
10/G1,LANGUAGE AND INTERCULTURAL COMMUNICATION,1470-8477,.
10/G1,LANGUAGE AND SPEECH,0023-8309,.
10/G1,LANGUAGE IN SOCIETY,0047-4045,.
10/G1,LANGUAGE LEARNING,0023-8333,.
10/G1,LANGUAGE LEARNING,1467-9922,.
10/G1,LANGUAGE LEARNING & TECHNOLOGY,1094-3501,.
10/G1,LANGUAGE LEARNING AND DEVELOPMENT,1547-5441,.
10/G1,LANGUAGE RESOURCES AND EVALUATION,1574-020X,.
10/G1,LANGUAGE SCIENCES,0388-0001,.
10/G1,LANGUAGE TEACHING,0261-4448,.
10/G1,LANGUAGE TYPOLOGY AND UNIVERSALS,1867-8319,.
10/G1,LANGUAGE VARIATION AND CHANGE,0954-3945,.
10/G1,LANGUE FRANÇAISE,0023-8368,.
10/G1,LINGUA,0024-3841,.
10/G1,LINGUA NOSTRA,0024-3868,.
10/G1,LINGUE E LINGUAGGIO,1720-9331,.
10/G1,LINGUISTIC ANALYSIS,0098-9053,.
10/G1,LINGUISTIC INQUIRY,0024-3892,.
10/G1,LINGUISTIC REVIEW,0167-6318,.
10/G1,LINGUISTIC TYPOLOGY,1430-0532,.
10/G1,LINGUISTICA E FILOLOGIA,1594-6517,.
10/G1,LINGUISTICS,0024-3949,.
10/G1,LINGUISTICS AND EDUCATION,0898-5898,.
10/G1,LINGUISTICS AND PHILOSOPHY,0165-0157,.
10/G1,LINGUISTISCHE BERICHTE,0024-3930,.
10/G1,LINGVISTICAE INVESTIGATIONES,0378-4169,.
10/G1,L'ITALIA DIALETTALE,0085-2295,.
10/G1,MEDIAZIONI,1974-4382,.
10/G1,MEDIOEVO ROMANZO,0390-0711,.
10/G1,MIND & LANGUAGE,0268-1064,.
10/G1,MIND & LANGUAGE,1468-0017,.
10/G1,MINOS,0544-3733,.
10/G1,MODERN LANGUAGE REVIEW,0026-7937,.
10/G1,MORPHOLOGY,1871-5621,.
10/G1,MOSAIC,0027-1276,.
10/G1,MOSAIC,1195-7131,.
10/G1,MÜNCHENER STUDIEN ZUR SPRACHWISSENSCHAFT,0077-1910,.
10/G1,NATURAL LANGUAGE & LINGUISTIC THEORY,0167-806X,.
10/G1,NATURAL LANGUAGE SEMANTICS,0925-854X,.
10/G1,NATURAL LANGUAGE SEMANTICS,1572-865X,.
10/G1,NATURE NEUROSCIENCE,1097-6256,.
10/G1,NEUROPSYCHOLOGIA,0028-3932,.
10/G1,NORDIC JOURNAL OF LINGUISTICS,0332-5865,.
10/G1,PHONOLOGY,0952-6757,.
10/G1,PLURILINGUISMO,1127-0241,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/G1,PROBUS,0921-4771,.
10/G1,PSYCHOPHYSIOLOGY,0048-5772,.
10/G1,RASSEGNA ITALIANA DI LINGUISTICA APPLICATA,0033-9725,.
10/G1,RECALL,0958-3440,.
10/G1,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,0835-1813,.
10/G1,REVUE DE LINGUISTIQUE LATINE DU CENTRE ALFRED ERNOUT,1760-6322,.
10/G1,REVUE DE LINGUISTIQUE ROMANE,0035-1458,.
10/G1,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1386-1204,.
10/G1,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1875-368X,.
10/G1,REVUE ROMANE,0035-3906,.
10/G1,"RID, RIVISTA ITALIANA DI DIALETTOLOGIA",1122-6331,.
10/G1,RINASCIMENTO,0080-3073,.
10/G1,RIVISTA DEGLI STUDI ORIENTALI,0392-4866,.
10/G1,RIVISTA DI LINGUISTICA (ITALIAN JOURNAL OF LINGUISTICS),1120-2726,.
10/G1,RIVISTA ITALIANA DI LINGUISTICA E DI DIALETTOLOGIA,1128-6369,.
10/G1,ROMANCE PHILOLOGY,0035-8002,.
10/G1,ROMÀNIA ORIENTALE,1121-4015,.
10/G1,ROMANISCHE FORSCHUNGEN,0035-8126,.
10/G1,RUSSIAN LINGUISTICS,0304-3487,.
10/G1,SECOND LANGUAGE RESEARCH,0267-6583,.
10/G1,SIGN LANGUAGE & LINGUISTICS,1569-996X,.
10/G1,SOCIOLINGUISTICA,0933-1883,.
10/G1,SPEECH COMMUNICATION,0167-6393,.
10/G1,SPRACHTYPOLOGIE UND UNIVERSALIENFORSCHUNG,0942-2919,.
10/G1,STUDI E SAGGI LINGUISTICI,0085-6827,.
10/G1,STUDI EMIGRAZIONE,0039-2936,.
10/G1,STUDI ETRUSCHI,0391-7762,.
10/G1,STUDI ITALIANI DI LINGUISTICA TEORICA E APPLICATA,0390-6809,.
10/G1,STUDI LINGUISTICI ITALIANI,0394-3569,.
10/G1,STUDIA LINGUISTICA,0039-3193,.
10/G1,STUDIES IN LANGUAGE,0378-4177,.
10/G1,STUDIES IN SECOND LANGUAGE ACQUISITION,0272-2631,.
10/G1,SYNTAX,1368-0005,.
10/G1,TARGET,0924-1884,.
10/G1,TERMINOLOGY,0929-9971,.
10/G1,TEXT & TALK,1860-7330,.
10/G1,THE ITALIANIST,0261-4340,.
10/G1,THE JOURNAL OF INDO-EUROPEAN STUDIES,0092-2323,.
10/G1,THE JOURNAL OF NEUROSCIENCE,0270-6474,.
10/G1,THE JOURNAL OF SPECIALISED TRANSLATION,1740-357X,.
10/G1,TRANSACTIONS OF THE PHILOLOGICAL SOCIETY,0079-1636,.
10/G1,VIRITTÄJÄ,0042-6806,.
10/G1,VOX ROMANICA,0042-899X,.
10/G1,WORD STRUCTURE,1750-1245,.
10/G1,ZEITSCHRIFT FÜR PAPYROLOGIE UND EPIGRAPHIK,0084-5388,.
10/G1,ZEITSCHRIFT FÜR ROMANISCHE PHILOLOGIE,0049-8661,.
10/G1,ZEITSCHRIFT FÜR SPRACHWISSENSCHAFT,0721-9067,.
10/H1,AAD - ARGUMENTATION ET ANALYSE DU DISCOURS,1565-8961,.
10/H1,ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,0003-4436,.
10/H1,ANNALES HISTORIQUES DE LA RÉVOLUTION FRANÇAISE,1952-403X,.
10/H1,APPLIED LINGUISTICS,0142-6001,.
10/H1,APPLIED LINGUISTICS,1477-450X,.
10/H1,APPRENTISSAGE DES LANGUES ET SYSTÈMES D'INFORMATION ET DE COMMUNICATION,1286-4986,.
10/H1,BELFAGOR,0005-8351,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/H1,BIEN DIRE ET BIEN APRANDRE,0220-665X,.
10/H1,BULLETIN DE LA SOCIETE DE L'HISTOIRE DU PROTESTANTISME FRANCAIS,0037-9050,.
10/H1,CAHIERS DE CIVILISATION MÉDIÉVALE,0007-9731,.
10/H1,CAHIERS DE L'ASSOCIATION INTERNATIONALE DES ÉTUDES FRANCAISES,0571-5865,.
10/H1,CAHIERS DE LEXICOLOGIE,0007-9871,.
10/H1,CAHIERS DE LINGUISTIQUE FRANÇAISE,1661-3171,.
10/H1,CAHIERS DE LITTÉRATURE FRANÇAISE,1971-4882,.
10/H1,CAHIERS DE PRAXÉMATIQUE,2111-5044,.
10/H1,CAHIERS DE RECHERCHES MÉDIÉVALES,1272-9752,.
10/H1,CAHIERS D'ÉTUDES ROMANES,0180-684X,.
10/H1,CAHIERS INTERNATIONAUX DE SYMBOLISME,0008-0284,.
10/H1,CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,0008-4506,.
10/H1,COMMUNICATION & LANGAGES,0336-1500,.
10/H1,COMMUNICATION & LANGAGES,1778-7459,.
10/H1,COMPUTATIONAL LINGUISTICS,0891-2017,.
10/H1,COMPUTATIONAL LINGUISTICS,1530-9312,.
10/H1,CONTEMPORANEA,1724-6105,.
10/H1,CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,1740-9292,.
10/H1,CORPUS LINGUISTICS AND LINGUISTIC THEORY,1613-7027,.
10/H1,CRITICA DEL TESTO,1127-1140,.
10/H1,CRITICAL INQUIRY,0093-1896,.
10/H1,CRITICAL INQUIRY,1539-7858,.
10/H1,CRITIQUE,0011-1600,.
10/H1,CULTURA NEOLATINA,0391-5654,.
10/H1,DALHOUSIE FRENCH STUDIES,0711-8813,.
10/H1,DIX-HUITIÈME SIÈCLE,0070-6760,.
10/H1,DIX-HUITIÈME SIÈCLE,1760-7892,.
10/H1,ÉCHO DES ÉTUDES ROMANES,1801-0865,.
10/H1,ÉCHO DES ÉTUDES ROMANES,1804-8358,.
10/H1,ELEPHANT & CASTLE,1826-6118,.
10/H1,ÉTUDES DE LINGUISTIQUE APPLIQUÉE,0071-190X,.
10/H1,ÉTUDES FRANÇAISES,0014-2085,.
10/H1,ÉTUDES FRANÇAISES (MONTRÉAL. EN LIGNE),1492-1405,.
10/H1,EXPRESSIONS MAGHRÉBINES,1540-0085,.
10/H1,FAITS DE LANGUES,1244-5460,.
10/H1,FÉERIES,1766-2842,.
10/H1,FRANCOFONIA,1121-953X,.
10/H1,FRANCOFONÍA,1132-3310,.
10/H1,FRENCH STUDIES,0016-1128,.
10/H1,GENESIS,1167-5101,.
10/H1,HB,1287-3209,.
10/H1,HEL HISTOIRE ÉPISTÉMOLOGIE LANGAGE,1638-1580,.
10/H1,HISTOIRE ÉPISTÉMOLOGIE LANGAGE,0750-8069,.
10/H1,IL CONFRONTO LETTERARIO,0394-994X,.
10/H1,IL LETTORE DI PROVINCIA,0024-1350,.
10/H1,INTERNATIONAL JOURNAL OF BILINGUAL EDUCATION AND BILINGUALISM,1367-0050,.
10/H1,INTERPRETING,1384-6647,.
10/H1,INVERBIS,2279-8978,.
10/H1,ITALIANISTICA,0391-3368,.
10/H1,JOURNAL DES AFRICANISTES,0399-0346,.
10/H1,JOURNAL OF FRENCH LANGUAGE STUDIES,0959-2695,.
10/H1,L’ANNÉE BALZACIENNE,1969-6752,.
10/H1,LA LICORNE,0398-9992,.
10/H1,LA LINGUISTIQUE,0075-966X,.
10/H1,LA LINGUISTIQUE,2101-0234,.
10/H1,LA PAROLA DEL TESTO,1125-6486,.
10/H1,LA QUESTIONE ROMANTICA,1125-0364,.
10/H1,LA RASSEGNA DELLA LETTERATURA ITALIANA,0033-9423,.
10/H1,LA REVUE DES LETTRES MODERNES,0035-2136,.
10/H1,LA REVUE DES LETTRES MODERNES. PAUL VALÉRY,0180-9466,.
10/H1,L'ANALISI LINGUISTICA E LETTERARIA,1122-1917,.
10/H1,LANGAGE ET SOCIÉTÉ,2101-0382,.
10/H1,LANGAGE ET SOCIÉTÉ (PARIS),0181-4095,.
10/H1,LANGAGES,0458-726X,.
10/H1,LANGAGES,1958-9549,.
10/H1,LANGUAGE,0097-8507,.
10/H1,LANGUAGE,1535-0665,.
10/H1,LANGUAGE LEARNING,0023-8333,.
10/H1,LANGUAGE LEARNING,1467-9922,.
10/H1,LANGUAGE TEACHING RESEARCH,1362-1688,.
10/H1,LANGUAGE VARIATION AND CHANGE,0954-3945,.
10/H1,LANGUE FRANÇAISE,0023-8368,.
10/H1,L'ANNEE BALZACIENNE,0084-6473,.
10/H1,L'ANNÉE BAUDELAIRE,1268-4082,.
10/H1,LE FRANÇAIS MODERNE,0015-9409,.
10/H1,LE MOYEN FRANÇAIS,0226-0174,.
10/H1,LES CAHIERS NATURALISTES,0008-0365,.
10/H1,LETTERATURA E LETTERATURE,1971-906X,.
10/H1,LETTRES ROMANES,0024-1415,.
10/H1,LIDIL,1146-6480,.
10/H1,L'IMMAGINE RIFLESSA,0391-2973,.
10/H1,L'INFORMATION GRAMMATICALE,0222-9838,.
10/H1,LINGUA,0024-3841,.
10/H1,LINGUISTIC INQUIRY,0024-3892,.
10/H1,LINGVISTICAE INVESTIGATIONES,0378-4169,.
10/H1,LINGVISTICAE INVESTIGATIONES,1569-9927,.
10/H1,LINX,0246-8743,.
10/H1,LITTERATURE,0047-4800,.
10/H1,LITTERATURES CLASSIQUES,0992-5279,.
10/H1,MEDIOEVO ROMANZO,0390-0711,.
10/H1,MEDIUM AEVUM,0025-8385,.
10/H1,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1123-9891,.
10/H1,META,0026-0452,.
10/H1,META,1492-1421,.
10/H1,METAPHOR AND SYMBOL,1092-6488,.
10/H1,METAPHOR AND SYMBOL,1532-7868,.
10/H1,"MLN, MODERN LANGUAGE NOTES",1080-6598,.
10/H1,MODELES LINGUISTIQUES,0249-6267,.
10/H1,MODERNA,1128-6326,.
10/H1,MOTS – LES LANGAGES DU POLITIQUE,0243-6450,.
10/H1,MOTS – LES LANGAGES DU POLITIQUE,1960-6001,.
10/H1,NEOHELICON,0324-4652,.
10/H1,NEOHELICON,1588-2810,.
10/H1,NEOLOGICA,2262-0354,.
10/H1,NEOLOGICA. REVUE INTERNATIONALE DE NÉOLOGIE,1965-2542,.
10/H1,NEOPHILOLOGUS,0028-2677,.
10/H1,NEOPHILOLOGUS,1572-8668,.
10/H1,NOTTINGHAM FRENCH STUDIES,0029-4586,.
10/H1,NUOVA CORRENTE,0029-6155,.
10/H1,PAPERS ON FRENCH SEVENTEENTH CENTURY LITERATURE,0343-0758,.
10/H1,PARAGONE. LETTERATURA,1120-4745,.
10/H1,PAROLECHIAVE,1122-5300,.
10/H1,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,0030-8129,.
10/H1,POÉTIQUE,1245-1274,.
10/H1,PONTS/PONTI,1827-9767,.
10/H1,PRATIQUES,0338-2389,.
10/H1,PRÉSENCE FRANCOPHONE,0048-5195,.
10/H1,PROBUS,0921-4771,.
10/H1,PROBUS,1613-4079,.
10/H1,REINARDUS,0925-4757,.
10/H1,RENAISSANCE QUARTERLY,0034-4338,.
10/H1,RESEARCH IN AFRICAN LITERATURES,0034-5210,.
10/H1,RESEARCH IN AFRICAN LITERATURES,1527-2044,.
10/H1,REVUE CRITIQUE DE FIXXION FRANÇAISE CONTEMPORAINE,2033-7019,.
10/H1,REVUE DE L'AIRE,1298-7859,.
10/H1,REVUE D'HISTOIRE DES SCIENCES HUMAINES,1622-468X,.
10/H1,REVUE D'HISTOIRE DU THÉÂTRE,1291-2530,.
10/H1,REVUE D'HISTOIRE LITTÉRAIRE DE LA FRANCE,0035-2411,.
10/H1,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1386-1204,.
10/H1,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1875-368X,.
10/H1,REVUE HISTORIQUE,0035-3264,.
10/H1,REVUE ITALIENNE D'ÉTUDES FRANÇAISES,2240-7456,.
10/H1,REVUE VOLTAIRE,1633-1117,.
10/H1,REVUE VOLTAIRE,2275-2676,.
10/H1,RIVISTA DI LETTERATURE MODERNE E COMPARATE,0391-2108,.
10/H1,RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,.
10/H1,RIVISTA DI STUDI TESTUALI,1593-7259,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/H1,RIVISTA STORICA ITALIANA,0035-7073,.
10/H1,ROMAN 20-50,0295-5024,.
10/H1,ROMANCE NOTES,0035-7995,.
10/H1,ROMANCE PHILOLOGY,0035-8002,.
10/H1,ROMANIA,0035-8029,.
10/H1,ROMANIC REVIEW,0035-8118,.
10/H1,ROMANTISME,0048-8593,.
10/H1,SAGGI E RICERCHE DI LETTERATURA FRANCESE,0581-2917,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/H1,SEICENTO E SETTECENTO,1828-2148,.
10/H1,SEIZIÈME SIÈCLE,1774-4466,.
10/H1,SEMEN – REVUE DE SÉMIO-LINGUISTIQUE DES TEXTES ET DISCOURS,1957-780X,.
10/H1,SEMICERCHIO,1123-4075,.
10/H1,SPECULUM,0038-7134,.
10/H1,STUDI COMPARATISTICI,1974-157X,.
10/H1,STUDI CULTURALI,1824-369X,.
10/H1,STUDI FRANCESI,0039-2944,.
10/H1,STUDI SETTECENTESCHI,0392-7326,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/H1,STUDIES ON VOLTAIRE AND THE EIGHTEENTH CENTURY,0435-2866,.
10/H1,TESTO,1123-4660,.
10/H1,TESTO A FRONTE,1128-238X,.
10/H1,TEXTYLES,0776-0116,.
10/H1,THE FRENCH REVIEW,0016-111X,.
10/H1,THE JOURNAL OF SPECIALISED TRANSLATION,1740-357X,.
10/H1,TRANEL,1010-1705,.
10/H1,TRANS,1137-2311,.
10/H1,TRANS,1778-3887,.
10/H1,TRAVAUX DE LITTERATURE,0995-6794,.
10/H1,TTR,0835-8443,.
10/H1,TTR,1708-2188,.
10/H1,XVIIE SIÈCLE,0012-4273,.
10/H1,ZEITSCHRIFT FÜR FRANZÖSISCHE SPRACHE UND LITERATUR,0044-2747,.
10/I1,ANALES CERVANTINOS,0569-9878,.
10/I1,ANALES DE LA LITERATURA ESPAÑOLA CONTEMPORÁNEA,0272-1635,.
10/I1,ANALES DE LITERATURA CHILENA,0717-6058,.
10/I1,ANALES DE LITERATURA ESPAÑOLA,0212-5889,.
10/I1,ANUARIO CALDERONIANO,1888-8046,.
10/I1,ANUARIO DE ESTUDIOS CERVANTINOS,1697-4034,.
10/I1,ANUARIO DE LETRAS,0185-1373,.
10/I1,ANUARIO DE LINGUISTICA HISPANICA,0213-053X,.
10/I1,ANUARIO LOPE DE VEGA,1136-5773,.
10/I1,ANUARIO LOPE DE VEGA,2014-8860,.
10/I1,ARTIFARA,1594-378X,.
10/I1,BELFAGOR,0005-8351,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/I1,BOLETÍN DE LA REAL ACADEMIA DE BUENAS LETRAS DE BARCELONA,0210-7481,.
10/I1,BOLETIN DE LA REAL ACADEMIA ESPANOLA,0210-4822,.
10/I1,BULLETIN HISPANIQUE,0007-4640,.
10/I1,BULLETIN OF HISPANIC STUDIES,0007-490X,.
10/I1,BULLETIN OF HISPANIC STUDIES,1475-3839,.
10/I1,BULLETIN OF HISPANIC STUDIES,1478-3398,.
10/I1,BULLETIN OF SPANISH STUDIES,1475-3820,.
10/I1,BULLETIN OF THE COMEDIANTES,0007-5108,.
10/I1,BULLETIN OF THE COMEDIANTES,1944-0928,.
10/I1,CANCIÓERO GENERAL,1695-7733,.
10/I1,CASA DE LAS AMERICAS,0008-7157,.
10/I1,"CASTILLA, ESTUDIOS DE LITERATURA",1989-7383,.
10/I1,CATALAN REVIEW,0213-5949,.
10/I1,CELESTINESCA,0147-3085,.
10/I1,CENTROAMERICANA,2035-1496,.
10/I1,CÍRCULO DE LINGÜÍSTICA APLICADA A LA COMUNICACIÓN,1576-4737,.
10/I1,COMUNICARE,1827-0905,.
10/I1,CONFLUENCIA,0888-6091,.
10/I1,CONFLUENZE,2036-0967,.
10/I1,CRÍTICA,0011-1503,.
10/I1,CRITICA DEL TESTO,1127-1140,.
10/I1,CRITICÓN,0247-381X,.
10/I1,CROCEVIA,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/I1,CUADERNOS AMERICANOS,0011-2356,.
10/I1,CUADERNOS HISPANOAMERICANOS,0011-250X,.
10/I1,CULTURA LATINOAMERICANA. ANNALI ...,1827-4315,.
10/I1,CULTURA LATINOAMERICANA. REVISTA DE ESTUDIOS INTERCULTURALES,2346-0326,.
10/I1,CULTURA NEOLATINA,0391-5654,.
10/I1,CULTURA TEDESCA,1720-514X,.
10/I1,DICENDA,0212-2952,.
10/I1,DICENDA,1988-2556,.
10/I1,EDAD DE ORO,0212-0429,.
10/I1,EHUMANISTA,1540-5877,.
10/I1,ESPAÑOL ACTUAL,1135-867X,.
10/I1,ESTRENO,0097-8663,.
10/I1,ESTUDIS ROMÀNICS,0211-8572,.
10/I1,ESTUDIS ROMÀNICS,2013-9500,.
10/I1,FORO HISPANICO,0925-8620,.
10/I1,FUTHARK,1886-9300,.
10/I1,HISPAMÉRICA,0363-0471,.
10/I1,HISPANIC REVIEW,0018-2176,.
10/I1,HISPANIC REVIEW,1553-0639,.
10/I1,IBÉRICA,1139-7241,.
10/I1,IBEROROMANIA,0019-0993,.
10/I1,INSULA,0020-4536,.
10/I1,LA CORÓNICA,0193-3892,.
10/I1,LA PAROLA DEL TESTO,1125-6486,.
10/I1,LA PERINOLA,1138-6363,.
10/I1,LANGUAGE,0097-8507,.
10/I1,LANGUAGE,1535-0665,.
10/I1,LEA. LINGÜÍSTICA ESPAÑOLA ACTUAL,0210-6345,.
10/I1,LENGUA Y MIGRACIÓN,1889-5425,.
10/I1,LETTERATURE D'AMERICA,1125-1743,.
10/I1,LEXIS,0254-9239,.
10/I1,LINGUE E LINGUAGGI,2239-0359,.
10/I1,LINGUE E LINGUAGGI,2239-0367,.
10/I1,LINGÜISTICA,1132-0214,.
10/I1,LINGÜÍSTICA,2079-312X,.
10/I1,L'OSPITE INGRATO,1590-5608,.
10/I1,MEDIOEVO ROMANZO,0390-0711,.
10/I1,METAPHOR AND SYMBOL,1092-6488,.
10/I1,"MLN, MODERN LANGUAGE NOTES",0026-7910,.
10/I1,"MLN, MODERN LANGUAGE NOTES",1080-6598,.
